,Running ID,Model Name,Expand Contractions,Basic Preprocessing,Grammar Correction,Simplify Negotiations,Lemmatize,Remove Stop Words,No. of Sentences,Train Accuracy STOP,Test Accuracy STOP,Train Loss STOP,Test Loss STOP,Train_sentence_fully_catched_ratio,Test_sentence_fully_catched_ratio,Length of Sentence,Batch size of RNN,label_array
0,2022-5-23-13-24-19,RNN,0,1,0,1,0,0,10000,0.700999975,0.650360167,0.999156356,4.983679771,80.39,84.10364146,70,25,"[0, 1, 0, 1, 0, 0]"
3,2022-5-23-17-43-28,RNN,0,1,0,0,0,1,10000,0.697600007,0.702581048,1.052263737,1.713091135,89.65,92.5170068,70,25,"[0, 1, 0, 0, 0, 1]"
5,2022-5-23-13-24-19,RNN,1,1,0,0,0,1,10000,0.805999994,0.705982387,1.280934811,1.393992901,89.8,92.62705082,70,25,"[1, 1, 0, 0, 0, 1]"
6,2022-5-23-13-24-19,RNN,0,1,1,0,0,1,10000,0.827300012,0.728591442,1.436266303,1.627568007,92.01,94.08763505,70,25,"[0, 1, 1, 0, 0, 1]"
7,2022-5-23-13-24-19,RNN,0,1,0,0,0,0,10000,0.734600008,0.729791939,3.556742191,3.107629299,80.39,84.10364146,70,25,"[0, 1, 0, 0, 0, 0]"
8,2022-5-23-14-59-14,RNN,1,1,1,1,0,1,10000,0.808799982,0.755602241,2.75078249,3.118913889,92.02,94.15766307,70,25,"[1, 1, 1, 1, 0, 1]"
9,2022-5-23-17-53-7,RNN,0,1,1,1,0,1,10000,0.962499976,0.833333313,0.122744285,0.480684012,92.01,94.08763505,70,25,"[0, 1, 1, 1, 0, 1]"
12,2022-5-23-13-24-19,RNN,1,1,1,0,0,1,10000,0.958999991,0.835334122,0.134316251,0.444306105,92.02,94.15766307,70,25,"[1, 1, 1, 0, 0, 1]"
13,2022-5-23-13-24-19,RNN,1,1,0,1,0,0,10000,0.729900002,0.845037997,0.585173011,0.405284852,80.37,84.14365746,70,25,"[1, 1, 0, 1, 0, 0]"
14,2022-5-23-15-20-0,RNN,1,1,0,1,0,1,10000,0.953800023,0.847338915,0.151129156,0.445571184,89.8,92.62705082,70,25,"[1, 1, 0, 1, 0, 1]"
,2022-5-23-15-29-36,RNN,0,1,0,1,0,1,10000,0.959800005,0.848939598,0.134102955,0.464573771,89.65,92.5170068,70,25,"[0, 1, 0, 1, 0, 1]"
,2022-5-23-17-22-59,RNN,1,1,1,1,0,0,10000,0.76730001,0.849139631,0.523557544,0.37519142,80.37,84.14365746,70,25,"[1, 1, 1, 1, 0, 0]"
,2022-5-23-13-24-19,RNN,0,1,1,0,0,0,10000,0.960900009,0.857843161,0.135138288,0.43543449,80.39,84.10364146,70,25,"[0, 1, 1, 0, 0, 0]"
,2022-5-23-13-24-19,RNN,0,1,1,1,0,0,10000,0.963100016,0.861544609,0.123744003,0.416476399,80.39,84.10364146,70,25,"[0, 1, 1, 1, 0, 0]"
,2022-5-23-13-24-19,RNN,1,1,1,0,0,0,10000,0.908800006,0.864745915,0.253692985,0.374890983,80.37,84.14365746,70,25,"[1, 1, 1, 0, 0, 0]"
,2022-5-23-13-24-19,RNN,1,1,0,0,0,0,10000,0.962700009,0.868447363,0.128415108,0.381826282,80.37,84.14365746,70,25,"[1, 1, 0, 0, 0, 0]"
