,Running ID,Model Name,Expand Contractions,Basic Preprocessing,Grammar Correction,Simplify Negotiations,Lemmatize,Remove Stop Words,No. of Sentences,Train Accuracy STOP,Test Accuracy STOP,Train Loss STOP,Test Loss STOP,Train_sentence_fully_catched_ratio,Test_sentence_fully_catched_ratio,Length of Sentence,Batch size of RNN,,Comment
0,2022-5-13-7-43-42,RNN,0,1,1,1,0,1,30000,0.903766692,0.857242882,0.264072537,0.353968143,79.74666667,85.12404962,40,25,,
1,2022-5-13-7-43-42,RNN,0,1,1,0,0,1,30000,0.818166673,0.858043194,0.422470808,0.361574799,79.74666667,85.12404962,40,25,,
2,2022-5-13-7-43-42,RNN,1,1,0,1,0,0,30000,0.899066687,0.860644281,0.292312324,0.546218872,62.96333333,69.29771909,40,25,,
3,2022-5-13-7-43-42,RNN,1,1,1,0,0,1,30000,0.947700024,0.860744298,0.165734604,0.354108065,79.71666667,85.19407763,40,25,,
4,2022-5-13-7-43-42,RNN,1,1,1,1,0,1,30000,0.958666682,0.861444592,0.131689936,0.438769311,79.71666667,85.19407763,40,25,,
5,2022-5-13-7-43-42,RNN,0,1,1,0,0,0,30000,0.800233305,0.861844718,0.466868281,0.338972241,62.97,69.26770708,40,25,,
6,2022-5-13-7-43-42,RNN,1,1,0,1,0,1,30000,0.817566693,0.864245713,0.42131862,0.357033461,76.52333333,82.4829932,40,25,,
7,2022-5-13-10-9-28,RNN,1,1,0,0,0,1,30000,0.809966683,0.864845932,0.438173831,0.339408338,76.52333333,82.4829932,40,25,,Retrained - re_train_results_2022-5-13-10-9-28.csv - had a better accuracy
8,2022-5-13-7-43-42,RNN,0,1,0,1,0,1,30000,0.815266669,0.867446959,0.445888698,0.316518843,76.27,82.28291317,40,25,,
9,2022-5-13-7-43-42,RNN,0,1,1,1,0,0,30000,0.941333354,0.872048795,0.169193044,0.405528516,62.97,69.26770708,40,25,,
10,2022-5-13-7-43-42,RNN,0,1,0,0,0,1,30000,0.826133311,0.872148871,0.412624508,0.318320334,76.27,82.28291317,40,25,,
11,2022-5-13-7-43-42,RNN,1,1,1,1,0,0,30000,0.947133362,0.875350118,0.161962569,0.393650442,62.96333333,69.29771909,40,25,,
12,2022-5-13-7-43-42,RNN,1,1,0,0,0,0,30000,0.948599994,0.87585032,0.165853977,0.373194635,62.96333333,69.29771909,40,25,,
13,2022-5-13-7-43-42,RNN,0,1,0,0,0,0,30000,0.829299986,0.876450598,0.404915094,0.313442111,62.97,69.26770708,40,25,,
14,2022-5-13-7-43-42,RNN,1,1,1,0,0,0,30000,0.819433331,0.876750708,0.419740736,0.315816045,62.96333333,69.29771909,40,25,,
15,2022-5-13-7-43-42,RNN,0,1,0,1,0,0,30000,0.825066686,0.877651036,0.420694411,0.305247635,62.97,69.26770708,40,25,,
