,Running ID,Model Name,Expand Contractions,Basic Preprocessing,Grammar Correction,Simplify Negotiations,Lemmatize,Remove Stop Words,No. of Sentences,Train Accuracy STOP,Test Accuracy STOP,Train Loss STOP,Test Loss STOP,Train_sentence_fully_catched_ratio,Test_sentence_fully_catched_ratio,Length of Sentence,Batch size of RNN,corpus_size,label_array
0,2022-5-25-13-16-58,-,0,1,0,0,0,0,10000,,,,,80.39,84.10364145658264,,,30403.0,"[0, 1, 0, 0, 0, 0]"
1,2022-5-25-13-16-58,-,0,1,0,0,0,1,10000,,,,,89.64999999999999,92.51700680272108,,,30327.0,"[0, 1, 0, 0, 0, 1]"
2,2022-5-25-13-16-58,-,0,1,0,0,1,0,10000,,,,,80.39,84.10364145658264,,,28841.0,"[0, 1, 0, 0, 1, 0]"
3,2022-5-25-13-16-58,-,0,1,0,0,1,1,10000,,,,,89.42999999999999,92.30692276910764,,,28769.0,"[0, 1, 0, 0, 1, 1]"
4,2022-5-25-13-16-58,-,0,1,0,1,0,0,10000,,,,,80.39,84.10364145658264,,,30403.0,"[0, 1, 0, 1, 0, 0]"
5,2022-5-25-13-16-58,-,0,1,0,1,0,1,10000,,,,,89.64999999999999,92.51700680272108,,,30327.0,"[0, 1, 0, 1, 0, 1]"
6,2022-5-25-13-16-58,-,0,1,0,1,1,0,10000,,,,,80.39,84.10364145658264,,,28841.0,"[0, 1, 0, 1, 1, 0]"
7,2022-5-25-13-16-58,-,0,1,0,1,1,1,10000,,,,,89.42999999999999,92.30692276910764,,,28769.0,"[0, 1, 0, 1, 1, 1]"
8,2022-5-25-13-16-58,-,0,1,1,0,0,0,10000,,,,,80.39,84.10364145658264,,,22711.0,"[0, 1, 1, 0, 0, 0]"
9,2022-5-25-13-16-58,-,0,1,1,0,0,1,10000,,,,,92.01,94.08763505402162,,,22314.0,"[0, 1, 1, 0, 0, 1]"
10,2022-5-25-13-16-58,-,0,1,1,0,1,0,10000,,,,,80.39,84.10364145658264,,,20040.0,"[0, 1, 1, 0, 1, 0]"
11,2022-5-25-13-16-58,-,0,1,1,0,1,1,10000,,,,,91.69,93.92757102841136,,,19661.0,"[0, 1, 1, 0, 1, 1]"
12,2022-5-25-13-16-58,-,0,1,1,1,0,0,10000,,,,,80.39,84.10364145658264,,,22711.0,"[0, 1, 1, 1, 0, 0]"
13,2022-5-25-13-16-58,-,0,1,1,1,0,1,10000,,,,,92.01,94.08763505402162,,,22314.0,"[0, 1, 1, 1, 0, 1]"
14,2022-5-25-13-16-58,-,0,1,1,1,1,0,10000,,,,,80.39,84.10364145658264,,,20040.0,"[0, 1, 1, 1, 1, 0]"
15,2022-5-25-13-16-58,-,0,1,1,1,1,1,10000,,,,,91.69,93.92757102841136,,,19661.0,"[0, 1, 1, 1, 1, 1]"
16,2022-5-25-13-16-58,-,1,1,0,0,0,0,10000,,,,,80.36999999999999,84.14365746298519,,,30326.0,"[1, 1, 0, 0, 0, 0]"
17,2022-5-25-13-16-58,-,1,1,0,0,0,1,10000,,,,,89.8,92.62705082032812,,,30250.0,"[1, 1, 0, 0, 0, 1]"
18,2022-5-25-13-16-58,-,1,1,0,0,1,0,10000,,,,,80.36999999999999,84.14365746298519,,,28769.0,"[1, 1, 0, 0, 1, 0]"
19,2022-5-25-13-16-58,-,1,1,0,0,1,1,10000,,,,,89.56,92.43697478991596,,,28697.0,"[1, 1, 0, 0, 1, 1]"
20,2022-5-25-13-16-58,-,1,1,0,1,0,0,10000,,,,,80.36999999999999,84.14365746298519,,,30326.0,"[1, 1, 0, 1, 0, 0]"
21,2022-5-25-13-16-58,-,1,1,0,1,0,1,10000,,,,,89.8,92.62705082032812,,,30250.0,"[1, 1, 0, 1, 0, 1]"
22,2022-5-25-13-16-58,-,1,1,0,1,1,0,10000,,,,,80.36999999999999,84.14365746298519,,,28769.0,"[1, 1, 0, 1, 1, 0]"
23,2022-5-25-13-16-58,-,1,1,0,1,1,1,10000,,,,,89.56,92.43697478991596,,,28697.0,"[1, 1, 0, 1, 1, 1]"
24,2022-5-25-13-16-58,-,1,1,1,0,0,0,10000,,,,,80.36999999999999,84.14365746298519,,,22680.0,"[1, 1, 1, 0, 0, 0]"
25,2022-5-25-13-16-58,-,1,1,1,0,0,1,10000,,,,,92.02,94.15766306522609,,,22284.0,"[1, 1, 1, 0, 0, 1]"
26,2022-5-25-13-16-58,-,1,1,1,0,1,0,10000,,,,,80.36999999999999,84.14365746298519,,,20015.0,"[1, 1, 1, 0, 1, 0]"
27,2022-5-25-13-16-58,-,1,1,1,0,1,1,10000,,,,,91.7,93.9875950380152,,,19637.0,"[1, 1, 1, 0, 1, 1]"
28,2022-5-25-13-16-58,-,1,1,1,1,0,0,10000,,,,,80.36999999999999,84.14365746298519,,,22680.0,"[1, 1, 1, 1, 0, 0]"
29,2022-5-25-13-16-58,-,1,1,1,1,0,1,10000,,,,,92.02,94.15766306522609,,,22284.0,"[1, 1, 1, 1, 0, 1]"
30,2022-5-25-13-16-58,-,1,1,1,1,1,0,10000,,,,,80.36999999999999,84.14365746298519,,,20015.0,"[1, 1, 1, 1, 1, 0]"
31,2022-5-25-13-16-58,-,1,1,1,1,1,1,10000,,,,,91.7,93.9875950380152,,,19637.0,"[1, 1, 1, 1, 1, 1]"
