,Running ID,Model Name,Expand Contractions,Basic Preprocessing,Grammar Correction,Simplify Negotiations,Lemmatize,Remove Stop Words,No. of Sentences,Train Accuracy STOP,Test Accuracy STOP,Train Loss STOP,Test Loss STOP,Train_sentence_fully_catched_ratio,Test_sentence_fully_catched_ratio,Length of Sentence,Batch size of RNN,,Comment 
1,2022-5-13-10-37-14,RNN,0,1,0,0,0,1,10000,0.965699971,0.843837559,0.125128731,0.451372504,78.49,82.28291317,40,25,,Retrained - re_train_results_2022-5-13-10-37-14.csv
15,2022-5-17-13-18-1,RNN,1,1,1,1,0,1,10000,0.776499987,0.832733095,0.569424748,0.4129228,81.64,85.19407763,40,25,,Retrained - re_train_results_2022-5-13-10-37-14.csv
5,2022-5-12-22-55-56,RNN,0,1,1,0,0,1,10000,0.902700007,0.833933592,0.261281043,0.398258746,81.68,85.12404962,40,25,,
7,2022-5-12-22-55-56,RNN,0,1,1,1,0,1,10000,0.787100017,0.834233701,0.475583106,0.393427402,81.68,85.12404962,40,25,,
13,2022-5-12-22-55-56,RNN,1,1,1,0,0,1,10000,0.779100001,0.835734308,0.519542158,0.480723053,81.64,85.19407763,40,25,,
9,2022-5-12-22-55-56,RNN,1,1,0,0,0,1,10000,0.920899987,0.836834729,0.209614202,0.618274093,78.66,82.4829932,40,25,,
14,2022-5-12-22-55-56,RNN,1,1,1,1,0,0,10000,0.797399998,0.838335335,0.467213511,0.386585981,66.58,69.29771909,40,25,,
11,2022-5-12-22-55-56,RNN,1,1,0,1,0,1,10000,0.785399973,0.841236472,0.508976221,0.386766046,78.66,82.4829932,40,25,,
12,2022-5-12-22-55-56,RNN,1,1,1,0,0,0,10000,0.961399972,0.846338511,0.139004171,0.472160995,66.58,69.29771909,40,25,,
3,2022-5-12-22-55-56,RNN,0,1,0,1,0,1,10000,0.958800018,0.847939193,0.134573355,0.461825103,78.49,82.28291317,40,25,,
6,2022-5-12-22-55-56,RNN,0,1,1,1,0,0,10000,0.781599998,0.848139226,0.539618015,0.372108012,66.59,69.26770708,40,25,,
2,2022-5-12-22-55-56,RNN,0,1,0,1,0,0,10000,0.788500011,0.849339724,0.487925589,0.368557423,66.59,69.26770708,40,25,,
8,2022-5-12-22-55-56,RNN,1,1,0,0,0,0,10000,0.972299993,0.849739909,0.097421244,0.444859236,66.58,69.29771909,40,25,,
0,2022-5-12-22-55-56,RNN,0,1,0,0,0,0,10000,0.927399993,0.850640237,0.204429999,0.379673749,66.59,69.26770708,40,25,,
10,2022-5-12-22-55-56,RNN,1,1,0,1,0,0,10000,0.924600005,0.850940347,0.221664816,0.380379409,66.58,69.29771909,40,25,,
4,2022-5-12-22-55-56,RNN,0,1,1,0,0,0,10000,0.921899974,0.85224092,0.223751143,0.566605866,66.59,69.26770708,40,25,,
