,Running ID,Model Name,Expand Contractions,Basic Preprocessing,Grammar Correction,Simplify Negotiations,Lemmatize,Remove Stop Words_new,No. of Sentences,Train Accuracy STOP,Test Accuracy STOP,Train Loss STOP,Test Loss STOP,Train_sentence_fully_catched_ratio,Test_sentence_fully_catched_ratio,Length of Sentence,Batch size of RNN,label_array
0,2022-5-23-13-3-2,RNN,1,1,1,1,0,1,5000,0.751600027,0.718587458,3.366626263,3.519701242,88.48,90.07603041,50,25,"[1, 1, 1, 1, 0, 1]"
1,2022-5-23-12-10-19,RNN,1,1,1,0,0,0,5000,0.890200019,0.852841139,0.286998242,0.404079944,75.36,76.59063625,50,25,"[1, 1, 1, 0, 0, 0]"
2,2022-5-23-12-10-19,RNN,0,1,0,1,0,0,5000,0.898999989,0.854941964,0.287316769,0.457820445,75.34,76.56062425,50,25,"[0, 1, 0, 1, 0, 0]"
3,2022-5-23-12-53-37,RNN,1,1,0,0,0,1,5000,0.940199971,0.838835537,0.17422469,0.502184749,85.62,87.82513005,50,25,"[1, 1, 0, 0, 0, 1]"
4,2022-5-23-12-10-19,RNN,1,1,0,1,0,0,5000,0.943599999,0.847539008,0.187546387,0.481113791,75.36,76.59063625,50,25,"[1, 1, 0, 1, 0, 0]"
5,2022-5-23-12-10-19,RNN,0,1,0,1,0,1,5000,0.944800019,0.834033608,0.163479686,0.483310997,85.46,87.72509004,50,25,"[0, 1, 0, 1, 0, 1]"
6,2022-5-23-12-10-19,RNN,0,1,0,0,0,1,5000,0.949000001,0.833733499,0.14501065,0.51058656,85.46,87.72509004,50,25,"[0, 1, 0, 0, 0, 1]"
7,2022-5-23-12-10-19,RNN,1,1,1,1,0,0,5000,0.952400029,0.852741122,0.151353344,0.405155241,75.36,76.59063625,50,25,"[1, 1, 1, 1, 0, 0]"
8,2022-5-23-12-10-19,RNN,0,1,1,1,0,1,5000,0.960200012,0.827330947,0.125545904,0.504795551,88.48,89.9959984,50,25,"[0, 1, 1, 1, 0, 1]"
9,2022-5-23-12-59-5,RNN,1,1,0,1,0,1,5000,0.960200012,0.837835133,0.123192288,0.510599554,85.62,87.82513005,50,25,"[1, 1, 0, 1, 0, 1]"
10,2022-5-23-12-50-4,RNN,0,1,1,0,0,0,5000,0.960399985,0.855742276,0.146883771,0.427776664,75.34,76.56062425,50,25,"[0, 1, 1, 0, 0, 0]"
11,2022-5-23-12-10-19,RNN,1,1,0,0,0,0,5000,0.962199986,0.84353739,0.128908575,0.438146114,75.36,76.59063625,50,25,"[1, 1, 0, 0, 0, 0]"
12,2022-5-23-13-6-33,RNN,0,1,1,0,0,1,5000,0.962599993,0.819127679,0.124380723,0.577380776,88.48,89.9959984,50,25,"[0, 1, 1, 0, 0, 1]"
13,2022-5-23-12-10-19,RNN,1,1,1,0,0,1,5000,0.963400006,0.824329734,0.111691982,0.500169516,88.48,90.07603041,50,25,"[1, 1, 1, 0, 0, 1]"
14,2022-5-23-12-10-19,RNN,0,1,1,1,0,0,5000,0.969399989,0.844537795,0.108239621,0.498081058,75.34,76.56062425,50,25,"[0, 1, 1, 1, 0, 0]"
15,2022-5-23-12-10-19,RNN,0,1,0,0,0,0,5000,0.971400023,0.851040423,0.093095489,0.470195204,75.34,76.56062425,50,25,"[0, 1, 0, 0, 0, 0]"
