,Running ID,Model Name,Expand Contractions,Basic Preprocessing,Grammar Correction,Simplify Negotiations,Lemmatize,Remove Stop Words,No. of Sentences,Train Accuracy STOP,Test Accuracy STOP,Train Loss STOP,Test Loss STOP,Train_sentence_fully_catched_ratio,Test_sentence_fully_catched_ratio,Length of Sentence,Batch size of RNN,corpus_size,label_array
0,2022-5-25-12-33-27,-,0,1,0,0,0,0,10,,,,,100,84.10364146,,,23064,"[0, 1, 0, 0, 0, 0]"
1,2022-5-25-12-33-27,-,0,1,0,0,0,1,10,,,,,100,92.5170068,,,22978,"[0, 1, 0, 0, 0, 1]"
2,2022-5-25-12-33-27,-,0,1,0,0,1,0,10,,,,,100,84.10364146,,,21868,"[0, 1, 0, 0, 1, 0]"
3,2022-5-25-12-33-27,-,0,1,0,0,1,1,10,,,,,100,92.30692277,,,21788,"[0, 1, 0, 0, 1, 1]"
4,2022-5-25-12-33-27,-,0,1,0,1,0,0,10,,,,,100,84.10364146,,,23064,"[0, 1, 0, 1, 0, 0]"
5,2022-5-25-12-33-27,-,0,1,0,1,0,1,10,,,,,100,92.5170068,,,22978,"[0, 1, 0, 1, 0, 1]"
6,2022-5-25-12-33-27,-,0,1,0,1,1,0,10,,,,,100,84.10364146,,,21868,"[0, 1, 0, 1, 1, 0]"
7,2022-5-25-12-33-27,-,0,1,0,1,1,1,10,,,,,100,92.30692277,,,21788,"[0, 1, 0, 1, 1, 1]"
8,2022-5-25-12-33-27,-,0,1,1,0,0,0,10,,,,,100,84.10364146,,,18301,"[0, 1, 1, 0, 0, 0]"
9,2022-5-25-12-33-27,-,0,1,1,0,0,1,10,,,,,100,94.08763505,,,17917,"[0, 1, 1, 0, 0, 1]"
10,2022-5-25-12-33-27,-,0,1,1,0,1,0,10,,,,,100,84.10364146,,,16271,"[0, 1, 1, 0, 1, 0]"
11,2022-5-25-12-33-27,-,0,1,1,0,1,1,10,,,,,100,93.92757103,,,15904,"[0, 1, 1, 0, 1, 1]"
12,2022-5-25-12-33-27,-,0,1,1,1,0,0,10,,,,,100,84.10364146,,,18301,"[0, 1, 1, 1, 0, 0]"
13,2022-5-25-12-33-27,-,0,1,1,1,0,1,10,,,,,100,94.08763505,,,17917,"[0, 1, 1, 1, 0, 1]"
14,2022-5-25-12-33-27,-,0,1,1,1,1,0,10,,,,,100,84.10364146,,,16271,"[0, 1, 1, 1, 1, 0]"
15,2022-5-25-12-33-27,-,0,1,1,1,1,1,10,,,,,100,93.92757103,,,15904,"[0, 1, 1, 1, 1, 1]"
16,2022-5-25-12-33-27,-,1,1,0,0,0,0,10,,,,,100,84.14365746,,,22997,"[1, 1, 0, 0, 0, 0]"
17,2022-5-25-12-33-27,-,1,1,0,0,0,1,10,,,,,100,92.62705082,,,22911,"[1, 1, 0, 0, 0, 1]"
18,2022-5-25-12-33-27,-,1,1,0,0,1,0,10,,,,,100,84.14365746,,,21805,"[1, 1, 0, 0, 1, 0]"
19,2022-5-25-12-33-27,-,1,1,0,0,1,1,10,,,,,100,92.43697479,,,21725,"[1, 1, 0, 0, 1, 1]"
20,2022-5-25-12-33-27,-,1,1,0,1,0,0,10,,,,,100,84.14365746,,,22997,"[1, 1, 0, 1, 0, 0]"
21,2022-5-25-12-33-27,-,1,1,0,1,0,1,10,,,,,100,92.62705082,,,22911,"[1, 1, 0, 1, 0, 1]"
22,2022-5-25-12-33-27,-,1,1,0,1,1,0,10,,,,,100,84.14365746,,,21805,"[1, 1, 0, 1, 1, 0]"
23,2022-5-25-12-33-27,-,1,1,0,1,1,1,10,,,,,100,92.43697479,,,21725,"[1, 1, 0, 1, 1, 1]"
24,2022-5-25-12-33-27,-,1,1,1,0,0,0,10,,,,,100,84.14365746,,,18270,"[1, 1, 1, 0, 0, 0]"
25,2022-5-25-12-33-27,-,1,1,1,0,0,1,10,,,,,100,94.15766307,,,17887,"[1, 1, 1, 0, 0, 1]"
26,2022-5-25-12-33-27,-,1,1,1,0,1,0,10,,,,,100,84.14365746,,,16244,"[1, 1, 1, 0, 1, 0]"
27,2022-5-25-12-33-27,-,1,1,1,0,1,1,10,,,,,100,93.98759504,,,15878,"[1, 1, 1, 0, 1, 1]"
28,2022-5-25-12-33-27,-,1,1,1,1,0,0,10,,,,,100,84.14365746,,,18270,"[1, 1, 1, 1, 0, 0]"
29,2022-5-25-12-33-27,-,1,1,1,1,0,1,10,,,,,100,94.15766307,,,17887,"[1, 1, 1, 1, 0, 1]"
30,2022-5-25-12-33-27,-,1,1,1,1,1,0,10,,,,,100,84.14365746,,,16244,"[1, 1, 1, 1, 1, 0]"
31,2022-5-25-12-33-27,-,1,1,1,1,1,1,10,,,,,100,93.98759504,,,15878,"[1, 1, 1, 1, 1, 1]"
