,Running ID,Model Name,Expand Contractions,Basic Preprocessing,Grammar Correction,Simplify Negotiations,Lemmatize,Remove Stop Words,No. of Sentences,Train Accuracy STOP,Test Accuracy STOP,Train Loss STOP,Test Loss STOP,Train_sentence_fully_catched_ratio,Test_sentence_fully_catched_ratio,Length of Sentence,Batch size of RNN,corpus_size
0,2022-5-23-12-10-10,-,0,1,0,0,0,0,5000,,,,,75.33999999999999,76.56062424969988,,,27145.0
1,2022-5-23-12-10-10,-,0,1,0,0,0,1,5000,,,,,85.46000000000001,87.72509003601441,,,27066.0
2,2022-5-23-12-10-10,-,0,1,0,1,0,0,5000,,,,,75.33999999999999,76.56062424969988,,,27145.0
3,2022-5-23-12-10-10,-,0,1,0,1,0,1,5000,,,,,85.46000000000001,87.72509003601441,,,27066.0
4,2022-5-23-12-10-10,-,0,1,1,0,0,0,5000,,,,,75.33999999999999,76.56062424969988,,,20874.0
5,2022-5-23-12-10-10,-,0,1,1,0,0,1,5000,,,,,88.48,89.99599839935975,,,20480.0
6,2022-5-23-12-10-10,-,0,1,1,1,0,0,5000,,,,,75.33999999999999,76.56062424969988,,,20874.0
7,2022-5-23-12-10-10,-,0,1,1,1,0,1,5000,,,,,88.48,89.99599839935975,,,20480.0
8,2022-5-23-12-10-10,-,1,1,0,0,0,0,5000,,,,,75.36,76.5906362545018,,,27075.0
9,2022-5-23-12-10-10,-,1,1,0,0,0,1,5000,,,,,85.61999999999999,87.82513005202081,,,26996.0
10,2022-5-23-12-10-10,-,1,1,0,1,0,0,5000,,,,,75.36,76.5906362545018,,,27075.0
11,2022-5-23-12-10-10,-,1,1,0,1,0,1,5000,,,,,85.61999999999999,87.82513005202081,,,26996.0
12,2022-5-23-12-10-10,-,1,1,1,0,0,0,5000,,,,,75.36,76.5906362545018,,,20842.0
13,2022-5-23-12-10-10,-,1,1,1,0,0,1,5000,,,,,88.48,90.07603041216487,,,20449.0
14,2022-5-23-12-10-10,-,1,1,1,1,0,0,5000,,,,,75.36,76.5906362545018,,,20842.0
15,2022-5-23-12-10-10,-,1,1,1,1,0,1,5000,,,,,88.48,90.07603041216487,,,20449.0
