Running ID,Model Name,Expand Contractions,Basic Preprocessing,Grammar Correction,Simplify Negotiations,Lemmatize,Remove Stop Words,No. of Sentences,Train Accuracy STOP,Test Accuracy STOP,Train Loss STOP,Test Loss STOP,Train_sentence_fully_catched_ratio,Test_sentence_fully_catched_ratio,Length of Sentence,Batch size of RNN,label_array,corpus_size
2022-5-23-18-19-40,RNN,0,1,0,0,0,0,30000,0.954033315,0.890556216,0.152764633,0.32315737,79.92333333,84.10364146,70,25,"[0, 1, 0, 0, 0, 0]",43684
2022-5-23-22-30-22,RNN,0,1,0,0,0,1,30000,0.656499982,0.710284114,1.47238028,4.147665501,89.42333333,92.5170068,70,25,"[0, 1, 0, 0, 0, 1]",43619
2022-5-24-0-0-43,RNN,0,1,0,1,0,0,30000,0.960699975,0.888055205,0.136629939,0.3674227,79.92333333,84.10364146,70,25,"[0, 1, 0, 1, 0, 0]",43684
2022-5-23-18-19-40,RNN,0,1,0,1,0,1,30000,0.943733335,0.878851533,0.176744446,0.362885416,89.42333333,92.5170068,70,25,"[0, 1, 0, 1, 0, 1]",43619
2022-5-23-18-19-40,RNN,0,1,1,0,0,0,30000,0.897933304,0.856442571,0.289303035,0.370867699,79.92333333,84.10364146,70,25,"[0, 1, 1, 0, 0, 0]",29991
2022-5-23-18-19-40,RNN,0,1,1,0,0,1,30000,0.637933314,0.668867528,1.57899332,4.077804565,91.52333333,94.08763505,70,25,"[0, 1, 1, 0, 0, 1]",29577
2022-5-23-18-19-40,RNN,0,1,1,1,0,0,30000,0.95236665,0.887655079,0.144374847,0.304914385,79.92333333,84.10364146,70,25,"[0, 1, 1, 1, 0, 0]",29991
2022-5-23-23-2-0,RNN,0,1,1,1,0,1,30000,0.846533358,0.812424958,0.464065909,0.530612171,91.52333333,94.08763505,70,25,"[0, 1, 1, 1, 0, 1]",29577
2022-5-23-18-19-40,RNN,1,1,0,0,0,0,30000,0.875800014,0.844037592,1.069708347,1.220730066,79.92333333,84.14365746,70,25,"[1, 1, 0, 0, 0, 0]",43592
2022-5-23-18-19-40,RNN,1,1,0,0,0,1,30000,0.716499984,0.838135242,0.577745318,0.402091384,89.56,92.62705082,70,25,"[1, 1, 0, 0, 0, 1]",43527
2022-5-23-23-30-33,RNN,1,1,0,1,0,0,30000,0.950266659,0.887855113,0.153938562,0.308650553,79.92333333,84.14365746,70,25,"[1, 1, 0, 1, 0, 0]",43592
2022-5-23-18-19-40,RNN,1,1,0,1,0,1,30000,0.917966664,0.866346538,0.260250628,0.360942453,89.56,92.62705082,70,25,"[1, 1, 0, 1, 0, 1]",43527
2022-5-23-18-19-40,RNN,1,1,1,0,0,0,30000,0.803266644,0.859343767,0.450113475,0.364793479,79.92333333,84.14365746,70,25,"[1, 1, 1, 0, 0, 0]",29962
2022-5-23-18-19-40,RNN,1,1,1,0,0,1,30000,0.676466644,0.664465785,2.418525457,1.11956811,91.56333333,94.15766307,70,25,"[1, 1, 1, 0, 0, 1]",29549
2022-5-23-18-19-40,RNN,1,1,1,1,0,0,30000,0.612999976,0.621548593,2.283370733,0.652441621,79.92333333,84.14365746,70,25,"[1, 1, 1, 1, 0, 0]",29962
2022-5-23-18-19-40,RNN,1,1,1,1,0,1,30000,0.80613333,0.776710689,1.641918182,2.285076857,91.56333333,94.15766307,70,25,"[1, 1, 1, 1, 0, 1]",29549
