,Running ID,Model Name,Expand Contractions,Basic Preprocessing,Grammar Correction,Simplify Negotiations,Lemmatize,Remove Stop Words,No. of Sentences,Train Accuracy STOP,Test Accuracy STOP,Train Loss STOP,Test Loss STOP,Train_sentence_fully_catched_ratio,Test_sentence_fully_catched_ratio,Length of Sentence,Batch size of RNN,Combination Array,Vocabulary Size
0,2022-5-25-13-0-3,RNN,1,1,1,0,1,1,5000,0.874599993,0.818927586,0.3559663,0.42158407,84.5,86.42456983,40,25,"[1, 1, 1, 0, 1, 1]",22978
1,2022-5-17-14-13-14,RNN,1,1,1,1,0,1,5000,0.950600028,0.819327712,0.158576801,0.443795294,84.92,86.75470188,40,25,"[1, 1, 1, 1, 0, 1]",21868
2,2022-5-25-12-52-5,RNN,0,1,1,1,1,1,5000,0.950399995,0.819527805,0.176254541,0.620366216,84.38,86.38455382,40,25,"[0, 1, 1, 1, 1, 1]",21788
3,2022-5-17-14-51-45,RNN,1,1,1,0,0,1,5000,0.962800026,0.821528614,0.111730605,0.499242961,84.92,86.75470188,40,25,"[1, 1, 1, 0, 0, 1]",23064
4,2022-5-17-14-13-14,RNN,0,1,1,1,0,1,5000,0.95480001,0.822529018,0.147509515,0.583328128,84.8,86.71468587,40,25,"[0, 1, 1, 1, 0, 1]",22978
5,2022-5-17-14-13-14,RNN,1,1,0,0,0,1,5000,0.695599973,0.822929144,0.619357049,0.444995522,82.02,83.69347739,40,25,"[1, 1, 0, 0, 0, 1]",21868
6,2022-5-17-14-57-43,RNN,0,1,1,0,0,1,5000,0.906199992,0.823229313,0.270478159,0.538911998,84.8,86.71468587,40,25,"[0, 1, 1, 0, 0, 1]",21788
7,2022-5-25-12-49-3,RNN,0,1,1,0,1,1,5000,0.957199991,0.824129641,0.127121076,0.517919183,84.38,86.38455382,40,25,"[0, 1, 1, 0, 1, 1]",18301
8,2022-5-25-13-3-3,RNN,1,1,1,1,1,1,5000,0.961600006,0.825430155,0.126139909,0.488247901,84.5,86.42456983,40,25,"[1, 1, 1, 1, 1, 1]",17917
9,2022-5-25-12-48-7,RNN,0,1,1,0,1,0,5000,0.732599974,0.828531384,0.622116208,0.469823867,69,69.26770708,40,25,"[0, 1, 1, 0, 1, 0]",16271
10,2022-5-17-14-13-14,RNN,1,1,1,1,0,0,5000,0.874800026,0.833033204,0.302298009,0.432712793,69.02,69.29771909,40,25,"[1, 1, 1, 1, 0, 0]",15904
11,2022-5-17-14-13-14,RNN,0,1,1,1,0,0,5000,0.736999989,0.834133625,0.616063654,0.451318234,69,69.26770708,40,25,"[0, 1, 1, 1, 0, 0]",18301
