,Running ID,Model Name,Expand Contractions,Basic Preprocessing,Grammar Correction,Simplify Negotiations,Lemmatize,Remove Stop Words,No. of Sentences,Train Accuracy STOP,Test Accuracy STOP,Train Loss STOP,Test Loss STOP,Train_sentence_fully_catched_ratio,Test_sentence_fully_catched_ratio,Length of Sentence,Batch size of RNN,corpus_size
0,2022-5-19-20-59-16,-,0,1,0,0,0,0,5000,,,,,69.0,69.26770708283313,,,27145.0
1,2022-5-19-20-59-16,-,0,1,0,0,0,1,5000,,,,,81.98,83.53341336534615,,,27066.0
2,2022-5-19-20-59-16,-,0,1,0,1,0,0,5000,,,,,69.0,69.26770708283313,,,27145.0
3,2022-5-19-20-59-16,-,0,1,0,1,0,1,5000,,,,,81.98,83.53341336534615,,,27066.0
4,2022-5-19-20-59-16,-,0,1,1,0,0,0,5000,,,,,69.0,69.26770708283313,,,20874.0
5,2022-5-19-20-59-16,-,0,1,1,0,0,1,5000,,,,,84.8,86.71468587434974,,,20480.0
6,2022-5-19-20-59-16,-,0,1,1,1,0,0,5000,,,,,69.0,69.26770708283313,,,20874.0
7,2022-5-19-20-59-16,-,0,1,1,1,0,1,5000,,,,,84.8,86.71468587434974,,,20480.0
8,2022-5-19-20-59-16,-,1,1,0,0,0,0,5000,,,,,69.02000000000001,69.29771908763506,,,27075.0
9,2022-5-19-20-59-16,-,1,1,0,0,0,1,5000,,,,,82.02000000000001,83.69347739095639,,,26996.0
10,2022-5-19-20-59-16,-,1,1,0,1,0,0,5000,,,,,69.02000000000001,69.29771908763506,,,27075.0
11,2022-5-19-20-59-16,-,1,1,0,1,0,1,5000,,,,,82.02000000000001,83.69347739095639,,,26996.0
12,2022-5-19-20-59-16,-,1,1,1,0,0,0,5000,,,,,69.02000000000001,69.29771908763506,,,20842.0
13,2022-5-19-20-59-16,-,1,1,1,0,0,1,5000,,,,,84.92,86.75470188075231,,,20449.0
14,2022-5-19-20-59-16,-,1,1,1,1,0,0,5000,,,,,69.02000000000001,69.29771908763506,,,20842.0
15,2022-5-19-20-59-16,-,1,1,1,1,0,1,5000,,,,,84.92,86.75470188075231,,,20449.0
