,Running ID,Model Name,Expand Contractions,Basic Preprocessing,Grammar Correction,Simplify Negotiations,Lemmatize,Remove Stop Words,No. of Sentences,Train Accuracy STOP,Test Accuracy STOP,Train Loss STOP,Test Loss STOP,Train_sentence_fully_catched_ratio,Test_sentence_fully_catched_ratio,Length of Sentence,Batch size of RNN,corpus_size,label_array
0,2022-5-26-13-24-48,-,0,1,0,0,0,0,5000,,,,,69.0,69.26770708283313,,,27145.0,"[0, 1, 0, 0, 0, 0]"
1,2022-5-26-13-24-48,-,0,1,0,0,0,1,5000,,,,,81.98,83.53341336534615,,,27066.0,"[0, 1, 0, 0, 0, 1]"
2,2022-5-26-13-24-48,-,0,1,0,0,1,0,5000,,,,,69.0,69.26770708283313,,,25745.0,"[0, 1, 0, 0, 1, 0]"
3,2022-5-26-13-24-48,-,0,1,0,0,1,1,5000,,,,,81.78,83.24329731892757,,,25669.0,"[0, 1, 0, 0, 1, 1]"
4,2022-5-26-13-24-48,-,0,1,0,1,0,0,5000,,,,,69.0,69.26770708283313,,,27145.0,"[0, 1, 0, 1, 0, 0]"
5,2022-5-26-13-24-48,-,0,1,0,1,0,1,5000,,,,,81.98,83.53341336534615,,,27066.0,"[0, 1, 0, 1, 0, 1]"
6,2022-5-26-13-24-48,-,0,1,0,1,1,0,5000,,,,,69.0,69.26770708283313,,,25745.0,"[0, 1, 0, 1, 1, 0]"
7,2022-5-26-13-24-48,-,0,1,0,1,1,1,5000,,,,,81.78,83.24329731892757,,,25669.0,"[0, 1, 0, 1, 1, 1]"
8,2022-5-26-13-24-48,-,0,1,1,0,0,0,5000,,,,,69.0,69.26770708283313,,,20874.0,"[0, 1, 1, 0, 0, 0]"
9,2022-5-26-13-24-48,-,0,1,1,0,0,1,5000,,,,,84.8,86.71468587434974,,,20480.0,"[0, 1, 1, 0, 0, 1]"
10,2022-5-26-13-24-48,-,0,1,1,0,1,0,5000,,,,,69.0,69.26770708283313,,,18459.0,"[0, 1, 1, 0, 1, 0]"
11,2022-5-26-13-24-48,-,0,1,1,0,1,1,5000,,,,,84.38,86.38455382152861,,,18083.0,"[0, 1, 1, 0, 1, 1]"
12,2022-5-26-13-24-48,-,0,1,1,1,0,0,5000,,,,,69.0,69.26770708283313,,,20874.0,"[0, 1, 1, 1, 0, 0]"
13,2022-5-26-13-24-48,-,0,1,1,1,0,1,5000,,,,,84.8,86.71468587434974,,,20480.0,"[0, 1, 1, 1, 0, 1]"
14,2022-5-26-13-24-48,-,0,1,1,1,1,0,5000,,,,,69.0,69.26770708283313,,,18459.0,"[0, 1, 1, 1, 1, 0]"
15,2022-5-26-13-24-48,-,0,1,1,1,1,1,5000,,,,,84.38,86.38455382152861,,,18083.0,"[0, 1, 1, 1, 1, 1]"
16,2022-5-26-13-24-48,-,1,1,0,0,0,0,5000,,,,,69.02000000000001,69.29771908763506,,,27075.0,"[1, 1, 0, 0, 0, 0]"
17,2022-5-26-13-24-48,-,1,1,0,0,0,1,5000,,,,,82.02000000000001,83.69347739095639,,,26996.0,"[1, 1, 0, 0, 0, 1]"
18,2022-5-26-13-24-48,-,1,1,0,0,1,0,5000,,,,,69.02000000000001,69.29771908763506,,,25681.0,"[1, 1, 0, 0, 1, 0]"
19,2022-5-26-13-24-48,-,1,1,0,0,1,1,5000,,,,,81.78,83.39335734293718,,,25605.0,"[1, 1, 0, 0, 1, 1]"
20,2022-5-26-13-24-48,-,1,1,0,1,0,0,5000,,,,,69.02000000000001,69.29771908763506,,,27075.0,"[1, 1, 0, 1, 0, 0]"
21,2022-5-26-13-24-48,-,1,1,0,1,0,1,5000,,,,,82.02000000000001,83.69347739095639,,,26996.0,"[1, 1, 0, 1, 0, 1]"
22,2022-5-26-13-24-48,-,1,1,0,1,1,0,5000,,,,,69.02000000000001,69.29771908763506,,,25681.0,"[1, 1, 0, 1, 1, 0]"
23,2022-5-26-13-24-48,-,1,1,0,1,1,1,5000,,,,,81.78,83.39335734293718,,,25605.0,"[1, 1, 0, 1, 1, 1]"
24,2022-5-26-13-24-48,-,1,1,1,0,0,0,5000,,,,,69.02000000000001,69.29771908763506,,,20842.0,"[1, 1, 1, 0, 0, 0]"
25,2022-5-26-13-24-48,-,1,1,1,0,0,1,5000,,,,,84.92,86.75470188075231,,,20449.0,"[1, 1, 1, 0, 0, 1]"
26,2022-5-26-13-24-48,-,1,1,1,0,1,0,5000,,,,,69.02000000000001,69.29771908763506,,,18432.0,"[1, 1, 1, 0, 1, 0]"
27,2022-5-26-13-24-48,-,1,1,1,0,1,1,5000,,,,,84.5,86.42456982793118,,,18057.0,"[1, 1, 1, 0, 1, 1]"
28,2022-5-26-13-24-48,-,1,1,1,1,0,0,5000,,,,,69.02000000000001,69.29771908763506,,,20842.0,"[1, 1, 1, 1, 0, 0]"
29,2022-5-26-13-24-48,-,1,1,1,1,0,1,5000,,,,,84.92,86.75470188075231,,,20449.0,"[1, 1, 1, 1, 0, 1]"
30,2022-5-26-13-24-48,-,1,1,1,1,1,0,5000,,,,,69.02000000000001,69.29771908763506,,,18432.0,"[1, 1, 1, 1, 1, 0]"
31,2022-5-26-13-24-48,-,1,1,1,1,1,1,5000,,,,,84.5,86.42456982793118,,,18057.0,"[1, 1, 1, 1, 1, 1]"
