,Running ID,Model Name,Expand Contractions,Basic Preprocessing,Grammar Correction,Simplify Negotiations,Lemmatize,Remove Stop Words,No. of Sentences,Train Accuracy STOP,Test Accuracy STOP,Train Loss STOP,Test Loss STOP,Train_sentence_fully_catched_ratio,Test_sentence_fully_catched_ratio,Length of Sentence,Batch size of RNN,corpus_size
0,2022-5-19-21-16-7,-,0,1,0,0,0,0,1000,,,,,82.69999999999999,69.26770708283313,,,23477.0
1,2022-5-19-21-16-7,-,0,1,0,0,0,1,1000,,,,,93.30000000000001,83.53341336534615,,,23392.0
2,2022-5-19-21-16-7,-,0,1,0,1,0,0,1000,,,,,82.69999999999999,69.26770708283313,,,23477.0
3,2022-5-19-21-16-7,-,0,1,0,1,0,1,1000,,,,,93.30000000000001,83.53341336534615,,,23392.0
4,2022-5-19-21-16-7,-,0,1,1,0,0,0,1000,,,,,82.69999999999999,69.26770708283313,,,18583.0
5,2022-5-19-21-16-7,-,0,1,1,0,0,1,1000,,,,,94.69999999999999,86.71468587434974,,,18199.0
6,2022-5-19-21-16-7,-,0,1,1,1,0,0,1000,,,,,82.69999999999999,69.26770708283313,,,18583.0
7,2022-5-19-21-16-7,-,0,1,1,1,0,1,1000,,,,,94.69999999999999,86.71468587434974,,,18199.0
8,2022-5-19-21-16-7,-,1,1,0,0,0,0,1000,,,,,82.69999999999999,69.29771908763506,,,23408.0
9,2022-5-19-21-16-7,-,1,1,0,0,0,1,1000,,,,,93.4,83.69347739095639,,,23323.0
10,2022-5-19-21-16-7,-,1,1,0,1,0,0,1000,,,,,82.69999999999999,69.29771908763506,,,23408.0
11,2022-5-19-21-16-7,-,1,1,0,1,0,1,1000,,,,,93.4,83.69347739095639,,,23323.0
12,2022-5-19-21-16-7,-,1,1,1,0,0,0,1000,,,,,82.69999999999999,69.29771908763506,,,18551.0
13,2022-5-19-21-16-7,-,1,1,1,0,0,1,1000,,,,,94.69999999999999,86.75470188075231,,,18168.0
14,2022-5-19-21-16-7,-,1,1,1,1,0,0,1000,,,,,82.69999999999999,69.29771908763506,,,18551.0
15,2022-5-19-21-16-7,-,1,1,1,1,0,1,1000,,,,,94.69999999999999,86.75470188075231,,,18168.0
