,Running ID,Model Name,Expand Contractions,Basic Preprocessing,Grammar Correction,Simplify Negotiations,Lemmatize,Remove Stop Words,No. of Sentences,Train Accuracy STOP,Test Accuracy STOP,Train Loss STOP,Test Loss STOP
0,2022-5-12-15-45-26,RNN,0,1,0,0,0,0,3000,0.9363333582878113,0.8349999785423279,0.16637608408927917,0.4969944953918457
1,2022-5-12-15-45-26,RNN,0,1,0,0,0,1,3000,0.9233333468437195,0.8113333582878113,0.2089141607284546,0.5476101040840149
2,2022-5-12-15-45-26,RNN,0,1,0,0,1,0,3000,0.956333339214325,0.840666651725769,0.13260629773139954,0.49852290749549866
3,2022-5-12-15-45-26,RNN,0,1,0,0,1,1,3000,0.9393333196640015,0.8289999961853027,0.1964011788368225,0.6272332072257996
4,2022-5-12-15-45-26,RNN,0,1,0,1,0,0,3000,0.9316666722297668,0.8346666693687439,0.18242351710796356,0.5412802696228027
5,2022-5-12-15-45-26,RNN,0,1,0,1,0,1,3000,0.768666684627533,0.7913333177566528,0.4824223518371582,0.5162349939346313
6,2022-5-12-15-45-26,RNN,0,1,0,1,1,0,3000,0.9243333339691162,0.840666651725769,0.1974605917930603,0.49891942739486694
7,2022-5-12-15-45-26,RNN,0,1,0,1,1,1,3000,0.9276666641235352,0.8169999718666077,0.19808046519756317,0.5443103909492493
8,2022-5-12-15-45-26,RNN,0,1,1,0,0,0,3000,0.9356666803359985,0.8256666660308838,0.18222030997276306,0.4924023449420929
9,2022-5-12-15-45-26,RNN,0,1,1,0,0,1,3000,0.9243333339691162,0.8056666851043701,0.20621874928474426,0.6225076913833618
10,2022-5-12-15-45-26,RNN,0,1,1,0,1,0,3000,0.9470000267028809,0.8216666579246521,0.17759795486927032,0.5976304411888123
11,2022-5-12-15-45-26,RNN,0,1,1,0,1,1,3000,0.718999981880188,0.6026666760444641,0.47913452982902527,0.6441338658332825
12,2022-5-12-15-45-26,RNN,0,1,1,1,0,0,3000,0.9363333582878113,0.824999988079071,0.17094188928604126,0.5116754770278931
13,2022-5-12-15-45-26,RNN,0,1,1,1,0,1,3000,0.9096666574478149,0.7856666445732117,0.2500975430011749,0.5886210799217224
14,2022-5-12-15-45-26,RNN,0,1,1,1,1,0,3000,0.9476666450500488,0.8273333311080933,0.15857136249542236,0.5077328681945801
15,2022-5-12-15-45-26,RNN,0,1,1,1,1,1,3000,0.9363333582878113,0.8173333406448364,0.18279729783535004,0.4784761965274811
16,2022-5-12-15-45-26,RNN,1,1,0,0,0,0,3000,0.9336666464805603,0.8119999766349792,0.21949990093708038,0.5073471069335938
17,2022-5-12-15-45-26,RNN,1,1,0,0,0,1,3000,0.9433333277702332,0.8190000057220459,0.1791243702173233,0.5604966878890991
18,2022-5-12-15-45-26,RNN,1,1,0,0,1,0,3000,0.8403333425521851,0.6976666450500488,0.2795943319797516,0.4805120825767517
19,2022-5-12-15-45-26,RNN,1,1,0,0,1,1,3000,0.9396666884422302,0.8253333568572998,0.17466329038143158,0.5019072890281677
20,2022-5-12-15-45-26,RNN,1,1,0,1,0,0,3000,0.9196666479110718,0.8293333053588867,0.25017744302749634,0.5296416878700256
21,2022-5-12-15-45-26,RNN,1,1,0,1,0,1,3000,0.9413333535194397,0.8206666707992554,0.1701652556657791,0.4977559447288513
22,2022-5-12-15-45-26,RNN,1,1,0,1,1,0,3000,0.921999990940094,0.831333339214325,0.2090347856283188,0.5031842589378357
23,2022-5-12-15-45-26,RNN,1,1,0,1,1,1,3000,0.9259999990463257,0.809333324432373,0.19700373709201813,0.4987911880016327
24,2022-5-12-15-45-26,RNN,1,1,1,0,0,0,3000,0.9319999814033508,0.8203333616256714,0.21687306463718414,0.45432665944099426
25,2022-5-12-15-45-26,RNN,1,1,1,0,0,1,3000,0.6736666560173035,0.5796666741371155,0.5818169713020325,0.6960312724113464
26,2022-5-12-15-45-26,RNN,1,1,1,0,1,0,3000,0.9306666851043701,0.8303333520889282,0.1844385415315628,0.460049569606781
27,2022-5-12-15-45-26,RNN,1,1,1,0,1,1,3000,0.918666660785675,0.8006666898727417,0.22535556554794312,0.5958298444747925
28,2022-5-12-15-45-26,RNN,1,1,1,1,0,0,3000,0.9399999976158142,0.8130000233650208,0.156742125749588,0.5694491267204285
29,2022-5-12-15-45-26,RNN,1,1,1,1,0,1,3000,0.6676666736602783,0.5789999961853027,0.5862739086151123,0.7022013068199158
30,2022-5-12-15-45-26,RNN,1,1,1,1,1,0,3000,0.9313333630561829,0.8383333086967468,0.20035289227962494,0.5535860061645508
31,2022-5-12-15-45-26,RNN,1,1,1,1,1,1,3000,0.4429999887943268,0.42266666889190674,8.591699600219727,8.9053373336792
