,Running ID,Model Name,Expand Contractions,Basic Preprocessing,Grammar Correction,Simplify Negotiations,Lemmatize,Remove Stop Words,No. of Sentences,Train Accuracy STOP,Test Accuracy STOP,Train Loss STOP,Test Loss STOP,Train_sentence_fully_catched_ratio,Test_sentence_fully_catched_ratio,Length of Sentence
0,2022-5-12-19-47-27,RNN,0,1,0,0,0,0,1000,0.8450000286102295,0.6129999756813049,0.5583305954933167,0.6483625769615173,24.6,25.4,10
1,2022-5-12-19-47-27,RNN,0,1,0,0,0,1,1000,0.8379999995231628,0.6200000047683716,0.4675831198692322,0.6442338228225708,31.1,31.3,10
2,2022-5-12-19-47-27,RNN,0,1,0,0,1,0,1000,0.8069999814033508,0.6079999804496765,0.4604596197605133,0.6384645104408264,24.6,25.4,10
3,2022-5-12-19-47-27,RNN,0,1,0,0,1,1,1000,0.8140000104904175,0.6050000190734863,0.4723283648490906,0.6554865837097168,30.7,30.9,10
4,2022-5-12-19-47-27,RNN,0,1,0,1,0,0,1000,0.6320000290870667,0.5820000171661377,0.6034553647041321,0.6708633899688721,6.9,5.1,10
5,2022-5-12-19-47-27,RNN,0,1,0,1,0,1,1000,0.7269999980926514,0.6639999747276306,0.5761982798576355,0.6291199922561646,31.1,31.1,10
6,2022-5-12-19-47-27,RNN,0,1,0,1,1,0,1000,0.7789999842643738,0.6119999885559082,0.47259652614593506,0.6452385187149048,24.6,25.5,10
7,2022-5-12-19-47-27,RNN,0,1,0,1,1,1,1000,0.8460000157356262,0.6629999876022339,0.458562433719635,0.6281164884567261,30.7,30.7,10
8,2022-5-12-19-47-27,RNN,0,1,1,0,0,0,1000,0.7400000095367432,0.597000002861023,0.5137777924537659,0.6471861600875854,24.6,25.4,10
9,2022-5-12-19-47-27,RNN,0,1,1,0,0,1,1000,0.7950000166893005,0.6190000176429749,0.4864974021911621,0.6655068397521973,35.4,36.0,10
10,2022-5-12-19-47-27,RNN,0,1,1,0,1,0,1000,0.7360000014305115,0.6000000238418579,0.5949249863624573,0.656670093536377,24.6,25.4,10
11,2022-5-12-19-47-27,RNN,0,1,1,0,1,1,1000,0.859000027179718,0.6549999713897705,0.49163126945495605,0.6318948864936829,34.1,35.199999999999996,10
12,2022-5-12-19-47-27,RNN,0,1,1,1,0,0,1000,0.6809999942779541,0.6340000033378601,0.5823866724967957,0.6419317722320557,6.9,5.1,10
13,2022-5-12-19-47-27,RNN,0,1,1,1,0,1,1000,0.8389999866485596,0.6399999856948853,0.4522048532962799,0.6416797637939453,35.4,35.699999999999996,10
14,2022-5-12-19-47-27,RNN,0,1,1,1,1,0,1000,0.675000011920929,0.621999979019165,0.5776278972625732,0.6381780505180359,24.6,25.5,10
15,2022-5-12-19-47-27,RNN,0,1,1,1,1,1,1000,0.8059999942779541,0.6330000162124634,0.4559909701347351,0.6573201417922974,34.1,34.9,10
16,2022-5-12-19-47-27,RNN,1,1,0,0,0,0,1000,0.5360000133514404,0.5979999899864197,0.7115650177001953,0.6586313843727112,24.6,25.4,10
17,2022-5-12-19-47-27,RNN,1,1,0,0,0,1,1000,0.7149999737739563,0.6470000147819519,0.5772855877876282,0.6405466198921204,31.1,31.5,10
18,2022-5-12-19-47-27,RNN,1,1,0,0,1,0,1000,0.5049999952316284,0.6269999742507935,0.7285974621772766,0.6457785964012146,24.6,25.4,10
19,2022-5-12-19-47-27,RNN,1,1,0,0,1,1,1000,0.8410000205039978,0.6349999904632568,0.43972793221473694,0.6361446380615234,30.599999999999998,31.0,10
20,2022-5-12-19-47-27,RNN,1,1,0,1,0,0,1000,0.7279999852180481,0.6660000085830688,0.557033360004425,0.6277207732200623,6.9,5.1,10
21,2022-5-12-19-47-27,RNN,1,1,0,1,0,1,1000,0.8690000176429749,0.6470000147819519,0.47881779074668884,0.6361386179924011,31.1,31.2,10
22,2022-5-12-19-47-27,RNN,1,1,0,1,1,0,1000,0.7990000247955322,0.6190000176429749,0.46885865926742554,0.6386657953262329,24.6,25.4,10
23,2022-5-12-19-47-27,RNN,1,1,0,1,1,1,1000,0.8180000185966492,0.6299999952316284,0.479573130607605,0.6363527178764343,30.599999999999998,30.7,10
24,2022-5-12-19-47-27,RNN,1,1,1,0,0,0,1000,0.7360000014305115,0.5870000123977661,0.49595633149147034,0.6533731818199158,24.6,25.4,10
25,2022-5-12-19-47-27,RNN,1,1,1,0,0,1,1000,0.8050000071525574,0.6129999756813049,0.4723687171936035,0.6684799790382385,35.4,35.9,10
26,2022-5-12-19-47-27,RNN,1,1,1,0,1,0,1000,0.7929999828338623,0.5950000286102295,0.4842005968093872,0.6471396684646606,24.6,25.4,10
27,2022-5-12-19-47-27,RNN,1,1,1,0,1,1,1000,0.8220000267028809,0.621999979019165,0.4695424437522888,0.6493973135948181,34.0,35.099999999999994,10
28,2022-5-12-19-47-27,RNN,1,1,1,1,0,0,1000,0.8420000076293945,0.621999979019165,0.49276578426361084,0.6370960474014282,6.9,5.1,10
29,2022-5-12-19-47-27,RNN,1,1,1,1,0,1,1000,0.7379999756813049,0.6389999985694885,0.5731400847434998,0.6463042497634888,35.4,35.5,10
30,2022-5-12-19-47-27,RNN,1,1,1,1,1,0,1000,0.8019999861717224,0.6190000176429749,0.5211231112480164,0.6374825835227966,24.6,25.4,10
31,2022-5-12-19-47-27,RNN,1,1,1,1,1,1,1000,0.7129999995231628,0.6520000100135803,0.5841168165206909,0.6427406072616577,34.0,34.699999999999996,10
